,var1,var2,correlation
3003,feature_75,feature_76,0.959254515922554
3026,feature_77,feature_78,0.9573131172647902
2976,feature_73,feature_74,0.9563242506288779
1955,feature_40,feature_43,0.9492106704314485
575,feature_12,feature_67,0.9257581684274249
1953,feature_40,feature_41,0.911204962489154
2091,feature_43,feature_44,0.9101055934754442
578,feature_12,feature_70,0.9072422183043777
736,feature_15,feature_17,0.9049464637065063
716,feature_14,feature_69,0.8947928349221705
2001,feature_41,feature_43,0.8940001188694586
1956,feature_40,feature_44,0.8930335078341076
2781,feature_63,feature_64,0.8775905215751937
1428,feature_29,feature_30,0.8766918576805961
746,feature_15,feature_30,0.8733652868782072
719,feature_14,feature_72,0.8509515890151361
2993,feature_74,feature_78,0.8489871577189843
1806,feature_37,feature_38,0.8488776070899509
2979,feature_73,feature_77,0.8476686580258614
2980,feature_73,feature_78,0.8443723937328963
2992,feature_74,feature_77,0.8433284106843602
2002,feature_41,feature_44,0.8432560514296216
1650,feature_34,feature_35,0.8328495827707487
646,feature_13,feature_68,0.8307543810204816
879,feature_17,feature_30,0.8120945387846237
2757,feature_62,feature_64,0.811389920694588
745,feature_15,feature_29,0.7988878324603779
2047,feature_42,feature_44,0.7980905805758508
1906,feature_39,feature_41,0.7967625381674328
803,feature_16,feature_17,0.7967436187556356
2873,feature_67,feature_70,0.7895686945485414
1251,feature_24,feature_25,0.7734973864584586
526,feature_12,feature_14,0.7539058494269393
649,feature_13,feature_71,0.7500955466494326
2046,feature_42,feature_43,0.7500519832637014
1905,feature_39,feature_40,0.7471457854525763
2929,feature_70,feature_72,0.746436737108166
878,feature_17,feature_29,0.7420924844479223
1543,feature_32,feature_35,0.7409863035762537
714,feature_14,feature_67,0.7385777102757984
1954,feature_40,feature_42,0.7367249478588195
2872,feature_67,feature_69,0.7363446430226083
1908,feature_39,feature_43,0.7336525517078943
2647,feature_58,feature_60,0.7159343181981799
3016,feature_76,feature_78,0.7101874007210722
3004,feature_75,feature_77,0.7077882782638804
3005,feature_75,feature_78,0.7075296060595333
2000,feature_41,feature_42,0.7053356700672323
3015,feature_76,feature_77,0.7047027884407385
1909,feature_39,feature_44,0.7027923970649689
307,feature_09,feature_11,0.7021131859098813
735,feature_15,feature_16,0.695239729002451
717,feature_14,feature_70,0.6950363017670211
580,feature_12,feature_72,0.6948523288332432
1542,feature_32,feature_34,0.6914982983456077
577,feature_12,feature_69,0.6816195293013969
1,feature_05,feature_07,0.6764707727102306
2756,feature_62,feature_63,0.6645665921956664
2188,feature_45,feature_56,0.6638711824530195
596,feature_13,feature_14,0.6534977121550206
2230,feature_46,feature_57,0.6457727491825294
813,feature_16,feature_30,0.6430396453440844
2912,feature_69,feature_72,0.6318352034412297
2891,feature_68,feature_69,0.631135018729033
2945,feature_71,feature_72,0.6229471179643921
256,feature_08,feature_38,0.6208130842373654
647,feature_13,feature_69,0.6188015616514864
1907,feature_39,feature_42,0.6151130120667857
2875,feature_67,feature_72,0.5947665350765734
812,feature_16,feature_29,0.5911970135766267
3067,responder_3,responder_5,0.5901087029604518
255,feature_08,feature_37,0.5867483288927424
978,feature_18,feature_65,0.583155898295998
1128,feature_22,feature_23,0.5816155178050718
48,feature_05,feature_58,0.5784210561601615
1043,feature_19,feature_66,0.5749821858671932
2675,feature_59,feature_60,0.5686943675876827
650,feature_13,feature_72,0.5667001837663442
2049,feature_42,feature_46,0.5663454946623803
1609,feature_33,feature_47,0.5659380296211857
2262,feature_47,feature_49,0.5631342125945151
715,feature_14,feature_68,0.5536517827486338
78,feature_06,feature_07,0.5517684722485261
467,feature_11,feature_29,0.5487364252702034
2910,feature_69,feature_70,0.5438925394612589
2991,feature_74,feature_76,0.537104320957702
2977,feature_73,feature_75,0.5336891603576163
2978,feature_73,feature_76,0.5323539229857431
2990,feature_74,feature_75,0.5320452859446902
1910,feature_39,feature_45,0.5311971779369601
3047,responder_0,responder_3,0.5300227081470826
718,feature_14,feature_71,0.5276689762077134
2616,feature_57,feature_58,0.5273928148975114
1193,feature_23,feature_29,0.5263159880929139
950,feature_18,feature_37,0.5235643884280357
2586,feature_56,feature_58,0.5169040277379728
203,feature_07,feature_60,0.5096397605671108
3073,responder_4,responder_7,0.5038927070119622
2301,feature_48,feature_49,0.5024432818141932
468,feature_11,feature_30,0.5009287345527164
2387,feature_50,feature_60,0.49707538150539754
1194,feature_23,feature_30,0.4955713796194938
3066,responder_3,responder_4,0.49280074705439264
3062,responder_2,responder_5,0.48544512334871565
2492,feature_53,feature_60,0.48418880303538064
1033,feature_19,feature_56,0.4809166543020399
2379,feature_50,feature_52,0.4708027664001431
2136,feature_44,feature_46,0.47039651251595654
456,feature_11,feature_15,0.46704457349280165
951,feature_18,feature_38,0.46223224791844936
2231,feature_46,feature_58,0.45803979096322756
394,feature_10,feature_28,0.45763227636715503
2487,feature_53,feature_55,0.4575893327243522
2385,feature_50,feature_58,0.45112903086097356
3068,responder_3,responder_6,0.4495089480953112
2190,feature_45,feature_58,0.4487492926723307
3055,responder_1,responder_4,0.44704541221492383
2271,feature_47,feature_58,0.44254863376367687
2003,feature_41,feature_45,0.4416807084329531
2093,feature_43,feature_46,0.4416462523272923
1923,feature_39,feature_58,0.4407043553397171
3079,responder_6,responder_8,0.4394240346415759
1958,feature_40,feature_46,0.436174262032264
1555,feature_32,feature_47,0.43540337263947376
3078,responder_6,responder_7,0.434894127216073
2061,feature_42,feature_58,0.43377686601399956
458,feature_11,feature_17,0.4328041800095121
741,feature_15,feature_23,0.42822140993228563
2004,feature_41,feature_46,0.42583261395829725
2490,feature_53,feature_58,0.4238085655574498
1065,feature_20,feature_22,0.4157697403794332
1957,feature_40,feature_45,0.4150384814066151
201,feature_07,feature_58,0.4106294657692958
2092,feature_43,feature_45,0.41001820216901275
1541,feature_32,feature_33,0.4087561760480531
2135,feature_44,feature_45,0.40271493548666315
874,feature_17,feature_23,0.402506235173111
1911,feature_39,feature_46,0.4023594452411015
1767,feature_36,feature_49,0.40061253547814885
2350,feature_49,feature_60,0.40025073340818995
2489,feature_53,feature_57,0.3977815631132177
2383,feature_50,feature_56,0.39239211585363554
525,feature_12,feature_13,0.39190450714737113
1505,feature_30,feature_52,0.391785802062909
1912,feature_39,feature_47,0.38986299943982405
645,feature_13,feature_67,0.38788605348688704
50,feature_05,feature_60,0.3863914337788298
2048,feature_42,feature_45,0.38532156191785355
1833,feature_37,feature_65,0.38347193605899044
2050,feature_42,feature_47,0.38113045943208707
1022,feature_19,feature_45,0.3781432717558993
767,feature_15,feature_52,0.37446689564685937
3077,responder_5,responder_8,0.3708118843032659
2911,feature_69,feature_71,0.37028913598048346
900,feature_17,feature_52,0.369268556416634
3046,responder_0,responder_2,0.36916855215640354
2415,feature_51,feature_52,0.36852744501864687
2594,feature_56,feature_66,0.36681862818564376
2060,feature_42,feature_57,0.36472907527151965
1915,feature_39,feature_50,0.36332566294656415
2056,feature_42,feature_53,0.3628971548845106
648,feature_13,feature_70,0.35852870820683974
2928,feature_70,feature_71,0.3578209719334636
389,feature_10,feature_20,0.3573668712238566
2348,feature_49,feature_58,0.3570127566107229
46,feature_05,feature_56,0.3569790710123663
2871,feature_67,feature_68,0.35684571941473386
2340,feature_49,feature_50,0.3553311781787779
1449,feature_29,feature_52,0.3510175546767614
2894,feature_68,feature_72,0.3498879779014523
2893,feature_68,feature_71,0.3489752343174666
1914,feature_39,feature_49,0.34897025274536736
240,feature_08,feature_18,0.34666427085598145
1921,feature_39,feature_56,0.3441892214094123
457,feature_11,feature_16,0.34303928228326663
1882,feature_38,feature_65,0.3421962317489137
834,feature_16,feature_52,0.34109502985714624
2052,feature_42,feature_49,0.3400929644738725
2311,feature_48,feature_59,0.3367915839446404
126,feature_06,feature_59,0.3363091414272943
2343,feature_49,feature_53,0.33586514274342943
2520,feature_54,feature_55,0.33384206234168473
808,feature_16,feature_23,0.3332450761815996
193,feature_07,feature_50,0.33283560062063317
2148,feature_44,feature_58,0.33145644787405754
2457,feature_52,feature_59,0.3311234998269108
47,feature_05,feature_57,0.33102887729887254
2618,feature_57,feature_60,0.3308855835440502
2556,feature_55,feature_59,0.3301854417509644
2016,feature_41,feature_58,0.3294174933511102
579,feature_12,feature_71,0.3290493403240237
2458,feature_52,feature_60,0.32832496603058586
1925,feature_39,feature_60,0.32650986679029725
2588,feature_56,feature_60,0.3257283649982476
576,feature_12,feature_68,0.32403384738609703
1034,feature_19,feature_57,0.32066816962387334
40,feature_05,feature_50,0.3205727968249556
3071,responder_4,responder_5,0.318975950549036
2063,feature_42,feature_60,0.3179124665184959
2178,feature_45,feature_46,0.3167440205641311
2179,feature_45,feature_47,0.31600456380088043
1765,feature_36,feature_47,0.3133802749919527
2557,feature_55,feature_60,0.31152225752061613
35,feature_05,feature_45,0.3105858098012198
2018,feature_41,feature_60,0.30640367374819877
2150,feature_44,feature_60,0.30592709010786995
29,feature_05,feature_39,0.3047487828518169
2198,feature_45,feature_66,0.3006271868577212
36,feature_05,feature_46,0.2988354659237673
2007,feature_41,feature_49,0.2988004373683264
2139,feature_44,feature_49,0.2974828176290824
323,feature_09,feature_30,0.29735577272124014
2399,feature_50,feature_72,0.2972591562519691
311,feature_09,feature_15,0.2956788090433997
2273,feature_47,feature_60,0.29500597666395867
2105,feature_43,feature_58,0.29277842055229164
3049,responder_0,responder_5,0.2924697895513643
1970,feature_40,feature_58,0.29241030692188524
2220,feature_46,feature_47,0.29195979018076584
2263,feature_47,feature_50,0.28651854923933606
3045,responder_0,responder_1,0.2839911339527002
37,feature_05,feature_47,0.283252760813276
3069,responder_3,responder_7,0.2830700146321696
2874,feature_67,feature_71,0.2808303605109074
196,feature_07,feature_53,0.2792234884785521
2646,feature_58,feature_59,0.27559736569249066
2686,feature_59,feature_71,0.27520586805441916
313,feature_09,feature_17,0.2727022216137754
2229,feature_46,feature_56,0.27166745707941187
1023,feature_19,feature_46,0.27165921706506896
2189,feature_45,feature_57,0.2711798482687921
283,feature_08,feature_65,0.2702674705998091
2417,feature_51,feature_54,0.268840910507191
202,feature_07,feature_59,0.2643761255097779
2107,feature_43,feature_60,0.26381303442425985
2233,feature_46,feature_60,0.2637932881555046
1972,feature_40,feature_60,0.26364579366824853
2269,feature_47,feature_56,0.26198766424522546
1131,feature_22,feature_28,0.2619087670604965
2143,feature_44,feature_53,0.2610601112185216
2147,feature_44,feature_57,0.2606222540143368
1922,feature_39,feature_57,0.26035008829374334
2182,feature_45,feature_50,0.26027756605733754
3054,responder_1,responder_3,0.25744341475687155
2059,feature_42,feature_56,0.2573795852538966
322,feature_09,feature_29,0.25735433544630393
2192,feature_45,feature_60,0.25694814623445894
2137,feature_44,feature_47,0.2535760251803807
2226,feature_46,feature_53,0.2523399542898499
2005,feature_41,feature_47,0.2523324283950291
2892,feature_68,feature_70,0.2507941118972063
32,feature_05,feature_42,0.25018895112548395
2008,feature_41,feature_50,0.24969168341394163
1598,feature_33,feature_36,0.24870945352450236
1503,feature_30,feature_50,0.24823450123008087
2014,feature_41,feature_56,0.24736706153948912
2491,feature_53,feature_59,0.2470577258374958
2266,feature_47,feature_53,0.24582330428918184
765,feature_15,feature_50,0.24514603064207413
0,feature_05,feature_06,0.2433785376526221
390,feature_10,feature_22,0.24237132652807447
2386,feature_50,feature_59,0.24210763858203307
192,feature_07,feature_49,0.24065321705219253
2397,feature_50,feature_70,0.23879802915937365
1130,feature_22,feature_25,0.23824366837983074
1035,feature_19,feature_58,0.23753773263515032
1069,feature_20,feature_28,0.2373047630443416
833,feature_16,feature_51,0.23605495897933051
1215,feature_23,feature_52,0.23592124101764783
1797,feature_36,responder_0,0.23502872155316884
3072,responder_4,responder_6,0.234051451833831
2470,feature_52,feature_72,0.23306955801852497
2239,feature_46,feature_66,0.23296288818780242
2015,feature_41,feature_57,0.23168004580612236
898,feature_17,feature_50,0.22870102411751084
1504,feature_30,feature_51,0.22840812499887153
182,feature_07,feature_39,0.22653314235580016
2146,feature_44,feature_56,0.22642235664947052
127,feature_06,feature_60,0.22633139693488155
2222,feature_46,feature_49,0.2258202411902903
2104,feature_43,feature_57,0.22508979399458479
